Time_step, Time, Epot, Ekin, Etot
506, 5.060000, -0.071632, 0.301142, 0.229510
507, 5.070000, -0.071460, 0.300977, 0.229517
508, 5.080000, -0.071289, 0.300812, 0.229524
509, 5.090000, -0.071117, 0.300647, 0.229530
510, 5.100000, -0.070946, 0.300483, 0.229537
511, 5.110000, -0.070774, 0.300319, 0.229544
512, 5.120000, -0.070603, 0.300154, 0.229551
513, 5.130000, -0.070432, 0.299990, 0.229558
514, 5.140000, -0.070262, 0.299826, 0.229565
515, 5.150000, -0.070091, 0.299662, 0.229571
516, 5.160000, -0.069921, 0.299499, 0.229578
517, 5.170000, -0.069751, 0.299335, 0.229585
518, 5.180000, -0.069581, 0.299172, 0.229592
519, 5.190000, -0.069411, 0.299009, 0.229598
520, 5.200000, -0.069241, 0.298846, 0.229605
521, 5.210000, -0.069072, 0.298683, 0.229611
522, 5.220000, -0.068903, 0.298521, 0.229618
523, 5.230000, -0.068734, 0.298358, 0.229625
524, 5.240000, -0.068565, 0.298196, 0.229631
525, 5.250000, -0.068396, 0.298034, 0.229638
526, 5.260000, -0.068228, 0.297872, 0.229644
527, 5.270000, -0.068060, 0.297710, 0.229650
528, 5.280000, -0.067892, 0.297549, 0.229657
529, 5.290000, -0.067724, 0.297388, 0.229663
530, 5.300000, -0.067557, 0.297226, 0.229670
531, 5.310000, -0.067390, 0.297066, 0.229676
532, 5.320000, -0.067223, 0.296905, 0.229682
